"frame","surprise","fear","disgust","anger","contempt","happiness","neutral","sadness"
"0","","","","","","","",""
"1","","","","","","","",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"21","","","","","","","",""
"22","","","","","","","",""
"23","","","","","","","",""
"24","","","","","","","",""
"25","","","","","","","",""
"26","","","","","","","",""
"27","","","","","","","",""
"28","","","","","","","",""
"29","","","","","","","",""
"30","","","","","","","",""
"31","","","","","","","",""
"32","","","","","","","",""
"33","","","","","","","",""
"34","","","","","","","",""
"35","","","","","","","",""
"36","","","","","","","",""
"37","","","","","","","",""
"38","","","","","","","",""
"39","","","","","","","",""
"40","","","","","","","",""
"41","","","","","","","",""
"42","","","","","","","",""
"43","","","","","","","",""
"44","","","","","","","",""
"45","","","","","","","",""
"46","","","","","","","",""
"47","","","","","","","",""
"48","","","","","","","",""
"49","","","","","","","",""
"50","","","","","","","",""
"51","","","","","","","",""
"52","","","","","","","",""
"53","","","","","","","",""
"54","","","","","","","",""
"55","3.85177e-06","1.57966e-07","1.06197e-07","5.82234e-05","2.81978e-06","4.05239e-05","0.999767","0.000127422"
"56","4.21581e-05","2.85143e-06","2.8669e-06","0.000288535","0.000141725","0.000299552","0.998689","0.000533133"
"57","9.93318e-06","9.15808e-07","1.82758e-06","0.000126365","5.05971e-05","0.000532558","0.998922","0.000356102"
"58","9.54143e-06","4.50012e-07","6.09461e-06","0.000300784","7.04708e-05","0.000192401","0.999137","0.000283168"
"59","5.46743e-06","2.56913e-07","4.13033e-06","0.000257474","6.76765e-05","3.9933e-05","0.998794","0.000830748"
"60","0.000385942","4.99658e-05","6.55414e-05","0.00104981","0.000236869","0.000747153","0.99481","0.00265463"
"61","1.21259e-05","1.67118e-06","5.40773e-06","0.000117995","0.000101543","0.000224453","0.997047","0.00249014"
"62","2.02536e-05","9.07169e-07","6.34323e-06","0.000610914","3.26958e-05","3.79153e-05","0.998618","0.00067252"
"63","0.000771473","7.24221e-05","8.32377e-05","0.00281184","0.000130066","0.000828026","0.988637","0.00666554"
"64","0.000648258","2.65081e-05","2.7153e-05","0.00161275","2.7634e-05","0.000428441","0.995486","0.00174343"
"65","0.000217619","1.60441e-05","0.00017719","0.00633876","0.000214479","0.0210969","0.969013","0.0029258"
"66","0.000741215","7.34987e-05","9.99053e-05","0.00963579","0.000176352","0.00040164","0.984813","0.00405905"
"67","0.00136714","0.000209007","0.000792119","0.0152396","0.0010061","0.0036859","0.948411","0.0292895"
