"frame","surprise","fear","disgust","anger","contempt","happiness","neutral","sadness"
"162","0.0140347","0.000308973","5.80057e-05","0.000925086","0.000258125","0.0129211","0.969366","0.00212848"
"163","0.00253569","3.92805e-05","6.50132e-06","0.000306358","4.43248e-05","0.00259424","0.993692","0.000781331"
"164","0.00273127","9.23845e-05","8.49605e-06","0.000376918","3.9645e-05","0.00254642","0.992925","0.00127957"
"165","0.00430558","6.85771e-05","6.84633e-05","0.00424259","0.000167406","0.00565598","0.984631","0.000860508"
"166","0.00226797","5.33196e-05","0.000103836","0.005289","0.000311026","0.0161254","0.975194","0.000655593"
"167","0.00359013","8.56209e-05","3.10919e-05","0.00471786","9.03259e-05","0.00657901","0.984643","0.00026315"
"168","0.00400513","6.16055e-05","5.30641e-05","0.0338467","5.36435e-05","0.000504316","0.961297","0.000178852"
"169","0.0131283","0.000294719","0.000100638","0.0375363","8.90919e-05","0.00217645","0.946261","0.000413035"
"170","0.000961409","5.67799e-05","2.71765e-05","0.00782012","5.41545e-05","0.00348175","0.986993","0.000605977"
"171","0.00173445","3.51601e-05","3.70928e-05","0.0112423","0.000171583","0.000754469","0.985835","0.000189968"
"172","0.000234243","1.08616e-05","1.05557e-07","3.45256e-05","6.956e-06","0.00051186","0.99919","1.11391e-05"
"173","3.02919e-05","2.94943e-06","1.10551e-06","4.60413e-05","7.3494e-07","0.136331","0.863473","0.000114636"
"174","0.000284675","4.79476e-05","4.04398e-05","0.00107137","1.28194e-05","0.00321867","0.975879","0.019445"
"175","0.000115616","2.11612e-05","0.000123516","0.00182437","0.000260809","0.0150695","0.962074","0.020511"
"176","6.4413e-05","1.03959e-05","4.32995e-05","0.000743494","2.65005e-05","0.00348785","0.983145","0.0124789"
"177","0.00033239","1.99531e-05","0.000132778","0.0132564","0.000116092","0.0318196","0.950195","0.00412776"
"178","9.18928e-05","7.97581e-06","3.04923e-05","0.00145193","9.55893e-05","0.0249654","0.961098","0.0122583"
"179","0.00213272","0.000732115","6.39247e-05","0.000844847","1.5667e-05","0.0243511","0.969619","0.00224038"
"180","0.00264584","0.000541291","0.000712886","0.00874722","0.000331971","0.0341449","0.838542","0.114334"
"181","0.00269593","0.000430126","0.000806225","0.0109975","0.000321001","0.043367","0.859416","0.081966"
"182","0.00240436","0.000340818","0.000165429","0.00404649","7.13251e-05","0.0379631","0.914167","0.0408418"
"183","0.00495271","0.000927529","0.000392756","0.00610176","0.000105953","0.0143076","0.898256","0.0749554"
"184","0.000882688","0.000177211","0.000100495","0.00184112","4.91914e-05","0.017124","0.926747","0.0530782"
"185","","","","","","","",""
"186","","","","","","","",""
"187","","","","","","","",""
"188","","","","","","","",""
"189","","","","","","","",""
"190","0.00741897","0.000332294","0.00114527","0.00362078","0.006737","0.0172544","0.958371","0.0051207"
"191","0.00539892","0.00054388","0.000247295","0.000785095","0.00205685","0.00346229","0.974791","0.0127147"
"192","0.0561077","0.00919592","0.00520127","0.0159257","0.0107127","0.00650701","0.877735","0.0186142"
"193","0.0923349","0.00712723","0.00690285","0.0154614","0.00355507","0.00499073","0.856705","0.0129232"
"194","0.0127311","0.0017485","0.0158378","0.0122872","0.00415478","0.00335079","0.928949","0.0209408"
"195","0.0140497","0.00129367","0.0082799","0.0188109","0.00543994","0.00163887","0.944584","0.00590298"
"196","0.00840081","0.000446518","0.0125858","0.00934888","0.00886224","0.00306872","0.945955","0.0113321"
"197","0.00621969","0.000275179","0.00424153","0.00495622","0.00388597","0.00289585","0.971167","0.00635883"
"198","0.00849112","0.00051075","0.00789069","0.00814726","0.00857537","0.00454933","0.952254","0.00958115"
"199","0.0223399","0.00140461","0.0166299","0.018323","0.00502981","0.00470997","0.924282","0.00728041"
"200","0.0169124","0.00109056","0.0165871","0.0186673","0.00555529","0.00519362","0.928695","0.00729922"
"201","0.0107775","0.000437629","0.0147837","0.0116413","0.00355467","0.00357404","0.951517","0.00371408"
"202","0.00906865","0.000375515","0.0134395","0.0077783","0.00623485","0.00425285","0.95482","0.00403001"
"203","0.00763388","0.000301476","0.0118209","0.00729342","0.00512752","0.00389592","0.960656","0.00327086"
"204","0.00702068","0.000285526","0.0150018","0.00687321","0.0055899","0.00315955","0.958954","0.00311541"
