"frame","surprise","fear","disgust","anger","contempt","happiness","neutral","sadness"
"0","","","","","","","",""
"1","","","","","","","",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","","","","","","",""
"5","","","","","","","",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","","","","","",""
"9","","","","","","","",""
"10","","","","","","","",""
"11","","","","","","","",""
"12","","","","","","","",""
"13","","","","","","","",""
"14","","","","","","","",""
"15","","","","","","","",""
"16","","","","","","","",""
"17","","","","","","","",""
"18","","","","","","","",""
"19","","","","","","","",""
"20","","","","","","","",""
"21","","","","","","","",""
"22","","","","","","","",""
"23","","","","","","","",""
"24","","","","","","","",""
"25","","","","","","","",""
"26","","","","","","","",""
"27","","","","","","","",""
"28","","","","","","","",""
"29","","","","","","","",""
"30","","","","","","","",""
"31","","","","","","","",""
"32","","","","","","","",""
"33","","","","","","","",""
"34","","","","","","","",""
"35","","","","","","","",""
"36","","","","","","","",""
"37","","","","","","","",""
"38","","","","","","","",""
"39","","","","","","","",""
"40","","","","","","","",""
"41","","","","","","","",""
"42","","","","","","","",""
"43","","","","","","","",""
"44","","","","","","","",""
"45","","","","","","","",""
"46","","","","","","","",""
"47","","","","","","","",""
"48","","","","","","","",""
"49","","","","","","","",""
"50","","","","","","","",""
"51","","","","","","","",""
"52","","","","","","","",""
"53","","","","","","","",""
"54","","","","","","","",""
"55","","","","","","","",""
"56","","","","","","","",""
"57","","","","","","","",""
"58","","","","","","","",""
"59","","","","","","","",""
"60","","","","","","","",""
"61","","","","","","","",""
"62","","","","","","","",""
"63","","","","","","","",""
"64","","","","","","","",""
"65","","","","","","","",""
"66","","","","","","","",""
"67","","","","","","","",""
"68","","","","","","","",""
"69","","","","","","","",""
"70","","","","","","","",""
"71","","","","","","","",""
"72","","","","","","","",""
"73","","","","","","","",""
"74","","","","","","","",""
"75","","","","","","","",""
"76","","","","","","","",""
"77","","","","","","","",""
"78","","","","","","","",""
"79","","","","","","","",""
"80","","","","","","","",""
"81","","","","","","","",""
"82","","","","","","","",""
"83","","","","","","","",""
"84","","","","","","","",""
"85","","","","","","","",""
"86","","","","","","","",""
"87","","","","","","","",""
"88","","","","","","","",""
"89","","","","","","","",""
"90","0.00211972","9.06507e-06","0.000480475","0.00114657","0.000379995","0.00437874","0.99088","0.000605147"
"91","0.000553001","1.96803e-06","0.000469302","0.00157938","0.00030276","0.00115546","0.995581","0.00035669"
"92","0.000782413","1.30035e-05","0.000445266","0.00286079","0.000284332","0.00116297","0.993095","0.00135596"
"93","0.00097665","2.12897e-05","0.00271054","0.0142355","0.00151464","0.00268127","0.971705","0.0061551"
"94","0.000747382","1.29253e-05","0.00197084","0.00481906","0.000696359","0.00252471","0.986283","0.00294561"
"95","0.00142874","2.7694e-05","0.00237385","0.00304061","0.00120921","0.00423226","0.981652","0.00603541"
